i	j	x	r	mach	theta	press	temp
60	48	1.28651	0.832092	2.05251	16.0757	34.8913	2926.74
61	48	1.30467	0.827882	2.05999	16.0101	34.4599	2919.01
62	48	1.32335	0.823565	2.06797	15.9337	34.0055	2910.79
63	48	1.34226	0.819213	2.07618	15.8516	33.5432	2902.33
64	48	1.36091	0.814936	2.08426	15.771	33.0942	2894.03
65	48	1.37774	0.811086	2.09146	15.7013	32.6992	2886.65
66	48	1.38206	0.8101	2.09396	15.6626	32.5628	2884.09
67	48	1.38887	0.808544	2.09753	15.6133	32.369	2880.43
68	48	1.39802	0.806456	2.10202	15.5567	32.127	2875.84
69	48	1.40864	0.804035	2.10671	15.5075	31.8761	2871.05
70	48	1.42193	0.801012	2.11254	15.4466	31.5663	2865.09
71	48	1.43787	0.797393	2.1195	15.3748	31.2005	2858
72	48	1.45635	0.793207	2.12748	15.2943	30.7862	2849.89
73	48	1.47743	0.788447	2.13651	15.2042	30.3231	2840.72
